title,type,description,disciplines,organization,keywords,program_work_experience_required,url
Fellowship in Clinical Artificial Intelligence,Type: Professional Fellowships,The Fellowship in Clinical AI is a year-long programme that is integrated part-time alongside the clinical training of doctors and dentists approaching consultancy. This unique programme will train a generation of NHS leaders to deliver the transformational power of Artificial Intelligence in healthcare.” Applicants must hold a National Training Number in a medical/dental specialty training post leading to CCT. There are no specialty restrictions for this fellowship. Fellowship posts are funded and supported by regional bodies of Health Education England.,"Disciplines: Medicine / Health Sciences, Technology",London Medical Imaging & AI Centre for Value Based Healthcare,"Keywords: AI, AI Fellowships, Artificial Intelligence, Clinical AI, Clinical Artificial Intelligence, Clinical Informatics, Clinicians, Data Scientists, Dental Trainees, Health Economists, Healthcare, Hospital Management, IT, Medical Physicists, Medical Trainees, UK",Work Experience: 0-5,https://www.profellow.com/fellowship/fellowship-in-clinical-artificial-intelligence/
AI Futures Fellowship,Type: Professional Fellowships,"The AI Futures Fellowship is a fully-funded ($8,000), eight-week fellowship program for early-career individuals and students that takes place at the Instituto Tecnológico Autónomo de México (ITAM) in Mexico City. A selective global cohort of around 10 fellows will work one-on-one with mentors who are professionals in the field of AI research. The AI Futures Fellowship is focused on improving AI safety and AI governance, addressing the management of advanced AI as a globally pressing challenge.",Disciplines: Technology,Instituto Tecnológico Autónomo de México,"Keywords: Advanced AI, AI, AI Fellowships, Artificial Intelligence, Early Career, Early Career Professionals, Mexico City",Work Experience: 0-5,https://www.profellow.com/fellowship/ai-futures-fellowship/
Fellowship.AI Hands-on Fellowship Program,Type: Professional Fellowships,"The Fellowship.AI Hands-on Fellowship Program is a free, fully remote, full-time fellowship program for aspiring machine learning engineers that takes place over three months. The fellowship is open to citizens of any country not embargoed by the United States, with the exception of Australia.  Applicants should have creative problem-solving ability, basic coding proficiency (particularly in Python), and a foundational understanding of machine learning theory and methods. Although it is fully remote, fellows living in major metropolitan areas are encouraged to organize in-person meetups. Applications from people of underrepresented identities are encouraged.",Disciplines: Technology,Fellowship.AI,"Keywords: AI, AI Fellowships, Artificial Intelligence, Coding, IT Engineers, Machine Learning, Machine Learning Engineer, Online, Online Fellowship, Python, Remote, Virtual",Work Experience: 0-5,https://www.profellow.com/fellowship/fellowship-ai-hands-on-fellowship-program/
The Practitioner Fellowships at the Digital Civil Society Lab (DCSL),Type: Professional Fellowships,"The Practitioner Fellowships at the Digital Civil Society Lab (DCSL) support civil society practitioners working to address racial, gender, class/caste, sexuality, and economic inequality in relation to technology. The program aims to catalyze and support a broad range of projects led by the selected fellows that can inform and improve the vitality of digital civil society. The fellowship provides time, space, expertise, and financial support to help turn ideas into prototypes or action, and fellows become part of a cohort and alumni network that thrives with access to an intellectual community. A $25,000 stipend, paid at the beginning of the fellowship, to support work on an 18-month project.","Disciplines: Social Sciences / Liberal Arts, Technology","Stanford University, Philanthropy and Civil Society","Keywords: Africa, Civil Society, Civil Society Practitioner, Community Engagement, Digital Civil Society, Digital Technology, Equity, Social Change, Social Equity, Social Impact, Stanford","Work Experience: 0-5, 5-10",https://www.profellow.com/fellowship/the-practitioner-fellowships-at-the-digital-civil-society-lab-dcsl/
Rankin Foundation Scholar Grants,Type: Undergraduate Fellowships,"The Jeannette Rankin Foundation offers two unrestricted non-tuition grants for students who identify as women or nonbinary and demonstrate financial need. Students from across the United States who are 35 or older, pursuing a technical or vocational education, an associate’s degree, or a first bachelor’s degree with an accredited U.S. institution may be eligible for the Jeannette Rankin National Scholar Grant. Grants are awarded directly to students. Rankin Foundation Scholars can use their funding to cover tuition, fees, books, supplies, transportation, childcare, or other living expenses while they’re in school. Scholars may be eligible to renew their grant for up to five years.","Disciplines: Education, Social Sciences / Liberal Arts, Medicine / Health Sciences, Science, Business, Creative Arts, Communications, Engineering, Public Service, Technology, Law, International Affairs",Jeannette Rankin Foundation,"Keywords: Associate Degrees, Associate Degrees Fellowships, Career Change, Experienced Professionals, Mid-Career, Non-binary, Senior Citizens, Technical Education, Vocational Degree, Women",Work Experience: 10+,https://www.profellow.com/fellowship/rankin-foundation-scholar-grants/
SHPE Scholarship Program,"Type: Doctoral Fellowships, Masters Fellowships, Undergraduate Fellowships, Professional Fellowships",Society of Hispanic Professional Engineers (SHPE) offers Scholarships for Hispanic graduating high school seniors and undergraduate students pursuing a degree in STEM at a community college or 4-year university. ScholarSHPE provides opportunities for students or professionals pursuing technical certificates or graduate-level professional education and graduate students pursuing a master’s or doctoral STEM degree program at an accredited university. SHPE is actively narrowing the gap in the Hispanic STEM education pipeline.,"Disciplines: Science, Engineering, Technology",Society of Hispanic Professional Engineers (SHPE),"Keywords: Hispanic, Hispanic Students, STEM, STEM Fellowships",Work Experience: Any,https://www.profellow.com/fellowship/shpe-scholarship-program/
LULAC National Scholarship Fund,Type: Undergraduate Fellowships,"LNESC and LULAC created the LULAC National Scholarship Fund (LNSF) to help youth in underserved communities make the dream of college enrollment a reality. LNSF is a unique partnership between grassroots advocates and corporations that fund educational opportunities for deserving youth across the U.S. This is a true grassroots/corporate partnership for the empowerment of the Latino community. Applicants must be U.S. citizens, legal permanent residents, or be granted Deferred Action for Childhood Arrivals (DACA). Must have applied to or be enrolled as a full-time student in a college or university. Awards range from $250 to $2,000.","Disciplines: Education, Social Sciences / Liberal Arts, Medicine / Health Sciences, Science, Business, Creative Arts, Communications, Engineering, Public Service, Technology, Law, International Affairs","LULAC National Educational Services Centers, Inc.","Keywords: Latino, Latino College Students, Latino community, Latino Students, Latino Undergraduate Students, Minorities, Minority, Undergraduate Students, Underrepresented",Work Experience: Any,https://www.profellow.com/fellowship/lulac-national-scholarship-fund/
Chicana Latina Foundation Leadership and Scholarship Program,"Type: Doctoral Fellowships, Masters Fellowships, Undergraduate Fellowships","Each year Chicana Latina Foundation awards merit-based scholarships valued at $1500 to 40-45 powerful Latina students. Awardees will participate in a year-long program. Scholars are selected for commitment to equality and justice for Chicana and Latina women and demonstrated leadership qualities and experience on behalf of the Latinx community. Applicants must self-identify as a Chicana and/or Latina. Be enrolled in an accredited college, community college, or university as a graduate or undergraduate student in California counties.","Disciplines: Education, Social Sciences / Liberal Arts, Medicine / Health Sciences, Science, Business, Creative Arts, Communications, Engineering, Public Service, Technology, Law, International Affairs",Chicana Latina Foundation,"Keywords: Chicana Students, Community College, Equality, Justice, Latina, Latina Students, Latino, Latinx Community, Women",Work Experience: Any,https://www.profellow.com/fellowship/chicana-latina-foundation-leadership-and-scholarship-program/
Latinos in Technology Scholarship,Type: Undergraduate Fellowships,"The Latinos in Technology Scholarship is for Latino(a) students who have a declared major in a science, technology, engineering, and math (STEM)-related field.  The Hispanic Foundation of Silicon Valley (HFSV) is dedicated to empowering the lives and futures of Latinos in Silicon Valley through community philanthropy, investment in educational excellence, leadership development, and the convening and engaging of the region’s dynamic Hispanic community. The Scholarship program provides financial support, professional development, and internship access for Latino college students. The scholarship amount is up to $10,000 renewable for three years.","Disciplines: Science, Engineering, Technology",Silicon Valley Community Foundation,"Keywords: Hispanic, Latino, Latino College Students, Latino Students, Silicon Valley, STEM, STEM Fellowships",Work Experience: Any,https://www.profellow.com/fellowship/latinos-in-technology-scholarship/
Hispanic Heritage Youth Awards,Type: Undergraduate Fellowships,"The Hispanic Heritage Youth Awards honors Latino high school seniors who excel in the classroom and community and for their excellence in various categories including Community Service, Education, Engineering, Entrepreneurship and business, Green Sustainability, Healthcare and science, Media and entertainment, Public Service & Social Justice, and Technology. Gold, Silver, and Bronze recipients are selected in each category and receive a one-time grant to fund their college education or to fund a community service effort that tackles a social issue.","Disciplines: Education, Social Sciences / Liberal Arts, Medicine / Health Sciences, Science, Business, Creative Arts, Engineering, Public Service, Technology",Hispanic Heritage Foundation (HHF),"Keywords: Hispanic, Hispanic Students, Hispanic Youth, Latino, Latinos",Work Experience: Any,https://www.profellow.com/fellowship/hispanic-heritage-youth-awards/
ExxonMobil LOFT Fellowship,Type: Undergraduate Fellowships,"ExxonMobil Corporation has partnered with the Hispanic Heritage Foundation (HHF) to create fellowship opportunities for Hispanic college students in STEM fields. Through HHF’s Latinos On Fast Track (LOFT) program, ExxonMobil seeks to nurture motivated college students nationwide, with a passion for Engineering and Science. Selected students will be exposed to a top-quality company by participating in this signature mentoring program. Each student will be paired up with an ExxonMobil engineer or scientist to learn how their knowledge and skills are applied in a corporate setting. This opportunity is highly competitive and open to rising sophomores, juniors, seniors, and graduate students attending a 4-year college or university. Students will receive $1,000 as an educational grant.","Disciplines: Science, Engineering, Technology",Hispanic Heritage Foundation (HHF),"Keywords: Engineering, Hispanic Students, Latino, Math, Mathematics, Minority Fellowship, Science, STEM, STEM Fellowships, Technology, Undergraduate, Undergraduate Students, US Latino",Work Experience: Any,https://www.profellow.com/fellowship/exxonmobil-loft-fellowship/
Hispanic Scholarship Fund Scholar Program,"Type: Masters Fellowships, Undergraduate Fellowships","The Hispanic Scholarship Fund Scholar Program is a scholarship program in the United States designed to support Hispanic and Latino students in their pursuit of higher education. The program provides financial assistance to qualified Hispanic students to help them access and succeed in college. Students must be of Hispanic heritage and plan to enroll full-time in an accredited, public or not-for-profit, four-year university, or graduate school, in the US. Every year, the Hispanic Scholarship Fund (HSF) selects 10,000 outstanding students as HSF Scholars. Scholars are selected based on merit. Award amounts range from $500 – $5,000, based on relative need.","Disciplines: Education, Social Sciences / Liberal Arts, Medicine / Health Sciences, Science, Business, Creative Arts, Communications, Engineering, Public Service, Technology, Law, International Affairs",Hispanic Scholarship Fund,"Keywords: Hispanic, Hispanic Heritage, Hispanic Students, HSF Scholars Program, Latino Students, Latinos",Work Experience: Any,https://www.profellow.com/fellowship/hispanic-scholarship-fund-scholar-program/
CISE Graduate Fellowships,Type: Doctoral Fellowships,"The Computer and Information Science and Engineering Graduate Fellowships (CSGrad4US) program aims to increase the number and diversity of domestic graduate students pursuing research and innovation careers in computer and information science and engineering fields. The program helps bachelor’s degree holders return to academia and pursue their research interests, enabling them to engage in innovative and high-impact projects without the burden of financial constraints. Each year, a diverse cohort of CSGrad4US fellows is selected based on their demonstrated interest and potential in pursuing a doctorate in a CISE field. Once enrolled in a qualifying graduate program, fellows receive a funding amount of $53,000 each year for three years.","Disciplines: Science, Engineering, Technology",National Science Foundation (NSF),"Keywords: CISE Researchers, Computer Engineering, Computer Science, Doctoral Funding, Early Career, Full Funding, Information Science, STEM, U.S. citizens",Work Experience: 0-5,https://www.profellow.com/fellowship/cise-graduate-fellowships/
Huntington Library Fellowships,"Type: Doctoral Fellowships, Post-doctoral Fellowships","The Huntington Library, Art Museum and Botanical Gardens in San Marino, CA offers 13 long-term fellowships for 9-12 months in residence, each with a stipend of $50,000, as well as 140 short-term fellowships are available for 1-5 months in residence with a monthly stipend of $3,500. Huntington fellowships support high-quality research that advances scholarship in the humanities and makes use of The Huntington’s extensive archival and rare book collections. Its diverse materials center on 14 intersecting collection strengths: American history; architecture, landscape design, and planning;  British history; California; early printed books; Hispanic history and culture; history of science, technology, and medicine; literature in English; maps and atlases; medieval manuscripts; the Pacific Rim; photography; prints, posters, and ephemer; and Western American history.","Disciplines: Social Sciences / Liberal Arts, Medicine / Health Sciences, Science, Creative Arts, Technology, International Affairs",The Huntington,"Keywords: American History, American Literature, Architecture, Archives, Arts, Asia Pacific, California, History of Technology, Humanities, Latino literature, Library, Postdoctoral Research, United States",Work Experience: Any,https://www.profellow.com/fellowship/huntington-library-fellowships/
Women’s International Study Center (WISC) Fellowships,"Type: Professional Fellowships, Post-doctoral Fellowships","The Women’s International Study Center (WISC) in Santa Fe, New Mexico inspires and enables women to achieve their goals through residence to create new projects and engage with the community through a public presentation. Residencies are typically four weeks long, although shorter and longer options are possible. Writers, artists, scholars, scientists, professionals, innovators and entrepreneurs are encouraged to apply. WISC seeks proposals aligned with our focus areas – the arts, sciences, cultural preservation, business and philanthropy. All projects must be relevant to the interests and experiences of women.","Disciplines: Education, Social Sciences / Liberal Arts, Medicine / Health Sciences, Science, Business, Creative Arts, Communications, Engineering, Public Service, Technology, Law, International Affairs",Women’s International Study Center (WISC),"Keywords: Creative Writing, Cultural Studies, Gender, History, Humanities, Interdisciplinary, New Mexico, Self-designed Project, Short-term, STEM, Studio Arts, Women, Women's Studies","Work Experience: 5-10, 10+",https://www.profellow.com/fellowship/womens-international-study-center-wisc-fellowships/
Roger Arliner Young (RAY) Diversity Fellowship,Type: Professional Fellowships,"Inspired by efforts to uplift BIPOC professionals in environmentally-related sectors, the Roger Arliner Young (RAY) Fellowship Program supports two cohorts of Fellows per year: RAY Conservation Fellows and RAY Clean Energy Fellows. The RAY Fellowship Program aims to increase and facilitate conservation, energy efficiency, and renewable energy-related career pathways for emerging leaders of color. The RAY Fellowship Program is a two-year and full-time paid fellowship designed to equip recent college graduates with the tools, experiences, support, and community they need to become leaders in the conservation and clean energy sectors.","Disciplines: Science, Engineering, Technology",The RAY Fellowship Program,"Keywords: BIPOC, Black, Conservation, DACA, Energy, Environment, Environmental Challenges, Environmental Conservation, Equity, Indigenous, Minority, Racial Justice, Social Change, Underrepresented",Work Experience: Any,https://www.profellow.com/fellowship/roger-arliner-young-ray-diversity-fellowship/
MongoDB PhD Fellowship Program,Type: Doctoral Fellowships,"The MongoDB PhD Fellowship Program supports exceptional PhD candidates who want to make significant contributions to the future of computer science or related fields. The Fellowship provides an opportunity to conduct computer science research, connect with MongoDB engineers, and attend and present research at MongoDB events. Applicants must be enrolled in a PhD program for the duration of the Fellowship and must also demonstrate a strong research background, passion for computer science or related fields, and excellent communication and interpersonal skills. The Fellowship includes an award of up to $50,000. The award will be given to universities to be distributed to recipients.","Disciplines: Engineering, Technology",MongoDB,"Keywords: Computer Engineering, Computer Science, Computer Science Education, Dissertation Research, Doctoral Study, Engineering, Machine Learning, PhD candidates, STEM, Technology",Work Experience: Any,https://www.profellow.com/fellowship/mongodb-phd-fellowship-program/
Sydney Horizon Fellowships,Type: Post-doctoral Fellowships,"Sydney Horizon Fellowships are intended to empower up to 40 of the world’s best and brightest emerging academics to undertake innovative research that will build our understanding of, and resilience to, climate change; improve health outcomes; and create a more sustainable world. Applicants must be less than ten years since the award of their PhD and obtain and maintain the right to work in Australia. The Sydney Horizon Fellowships are open to all disciplines. Applicants must propose research that addresses at least one of the challenges of climate change, health, or sustainability. Each successful applicant will receive up to AUD$100,000 per annum in research funding, and a competitive salary.","Disciplines: Social Sciences / Liberal Arts, Medicine / Health Sciences, Science, Communications, Engineering, Public Service, Technology, Law, International Affairs",University of Sydney,"Keywords: Australia, Climate Change, Climate Researchers, Early Career Researchers, Health, Post Doctorate, Research Fellowships, Sustainability, Sustainability Leaders, Sydney","Work Experience: 0-5, 5-10",https://www.profellow.com/fellowship/sydney-horizon-fellowships/
Mid-Career Professional Development Award (Fulbright Finland),Type: Professional Fellowships,"The aim of the award is to allow professionals with a minimum of 7 years of work experience in various fields to take a sabbatical leave of 4-5 months from normal work duties to pursue further education or training that would enhance their professional development and the field at large. The focus of the award cannot be aimed at academic research or lecturing projects. Applicants should create projects that may include studies, practical experience in actual operations, visits to organizations in their professional field, public lectures or other appropriate professional experiences. Fellows receive a stipend, travel and other benefits. ","Disciplines: Education, Social Sciences / Liberal Arts, Medicine / Health Sciences, Science, Business, Creative Arts, Communications, Engineering, Public Service, Technology, Law, International Affairs",Fulbright Finland,"Keywords: Europe, Finland, Mid-Career, Multidisciplinary, Professional Development, Scandinavia, Self-designed Project","Work Experience: 5-10, 10+",https://www.profellow.com/fellowship/mid-career-professional-development-award-fulbright-finland/
StartUp Health Fellowship,Type: Professional Fellowships,"The StartUp Health Fellowship is an immersive 12-week virtual experience. If you are passionate about the intersection of health, technology, and entrepreneurship, you are encouraged to apply. The Fellowship is open to current undergraduate and graduate students, post-grads, and those looking to gain digital health experience. A minimum of 12 hours per week is required to participate. The fellowship provides access and exposure to entrepreneurs and industry innovators working to transform health. Fellows are awarded a $1,500 stipend at the completion of the program.","Disciplines: Medicine / Health Sciences, Technology",StartUp Health,"Keywords: Health, Remote, Virtual",Work Experience: Any,https://www.profellow.com/fellowship/startup-health-fellowship/
Japan Society for the Promotion of Science (JSPS) Research Fellowship,Type: Post-doctoral Fellowships,"The Japan Society for the Promotion of Science (JSPS) Research Fellowship supports you as a highly qualified postdoc from Germany in conducting your research in Japan – regardless of discipline. There are two separate funding lines: short-term postdoctoral fellowships (1–12 months), and standard postdoctoral fellowships (12–24 months) Up to 17 short-term postdoctoral fellowships and up to 12 standard postdoctoral fellowships may be awarded per year. If you would like to apply for a JSPS Research Fellowship, you will require an academic host, who must be working at a university or selected national research institution in Japan. The monthly fellowship amount paid by JSPS is currently 362,000 yen.","Disciplines: Education, Social Sciences / Liberal Arts, Medicine / Health Sciences, Science, Business, Communications, Engineering, Public Service, Technology, Law, International Affairs",Alexander von Humboldt Foundation,"Keywords: Germany, Japan, Postdoctoral, Postdoctoral Research, Postdoctoral Researchers, Research Fellowships, Research in Japan","Work Experience: 5-10, 10+",https://www.profellow.com/fellowship/japan-society-for-the-promotion-of-science-jsps-research-fellowship/
Humboldt Research Awards,Type: Professional Fellowships,"Every year, the Alexander von Humboldt Foundation grants up to 100 Humboldt Research Awards to internationally leading researchers of all disciplines from abroad in recognition of their academic record to date. The award amount is €60,000. Award winners are also invited to conduct a research project of their choice at a research institution in Germany in cooperation with specialist colleagues there. The award enables a total stay of between six months and a full year, which can be split into multiple stays. Nominations for a Humboldt Research Award may be initiated by established researchers at research institutions in Germany.","Disciplines: Education, Social Sciences / Liberal Arts, Medicine / Health Sciences, Science, Business, Creative Arts, Communications, Engineering, Public Service, Technology, Law, International Affairs",Alexander von Humboldt Foundation,"Keywords: Abroad, Germany, International Researchers, Research Abroad, Research Award, Research in Germany, Research Projects, Researcher","Work Experience: 5-10, 10+",https://www.profellow.com/fellowship/humboldt-research-awards/
Georg Forster Research Award,Type: Post-doctoral Fellowships,"The Alexander von Humboldt Foundation presents up to six Georg Forster Research Awards each year to internationally outstanding researchers from developing and transition countries in recognition of their academic records to date. The award amount is €60,000. Award winners are also invited to conduct a research project of their choice at a research institution in Germany. The award enables a total stay of between six months and a full year, which can be split into multiple stays. The award is intended to support the long-term promotion of outstanding scientific multipliers in transition and developing countries whose research will contribute to improving living conditions in their countries of origin.","Disciplines: Education, Social Sciences / Liberal Arts, Medicine / Health Sciences, Science, Business, Communications, Engineering, Public Service, Technology, Law, International Affairs",Alexander von Humboldt Foundation,"Keywords: Abroad, Germany, Research Abroad, Research Award, Research Fellowships, Research in Germany, Research Projects, Researcher","Work Experience: 0-5, 5-10, 10+",https://www.profellow.com/fellowship/georg-forster-research-award/
Friedrich Wilhelm Bessel Research Award,Type: Post-doctoral Fellowships,"The Alexander von Humboldt Foundation presents approximately 20 Friedrich Wilhelm Bessel Research Awards annually to internationally renowned academics from abroad in recognition of their outstanding accomplishments in research. The award amount is €45,000. Award winners are also invited to conduct a research project of their choice at a research institution in Germany in cooperation with specialist colleagues there. The award enables a total stay of between six months and a full year, which can be split into multiple stays. Nominations for a Friedrich Wilhelm Bessel Research Award may be initiated by established researchers at research institutions in Germany.","Disciplines: Education, Social Sciences / Liberal Arts, Medicine / Health Sciences, Science, Business, Communications, Engineering, Public Service, Technology, Law, International Affairs",Alexander von Humboldt Foundation,"Keywords: Abroad, Germany, International Researchers, Research Abroad, Research Award, Research Fellowship, Research in Germany, Research Projects","Work Experience: 5-10, 10+",https://www.profellow.com/fellowship/friedrich-wilhelm-bessel-research-award/
